[2028,3894769536:13:35:42.890303] [NaClMain] NaCl main program time spent = 0.402100 
[2028,3894769536:13:35:42.890324] [NaClMain] NaCl initialization time spent = 0.144050 
[2028,3894769536:13:35:42.890343] [NaClMain] NaCl system call timing enabled! 
[2028,3894769536:13:35:42.890357] [NaClMain] Start printing out results now: 
[2028,3894769536:13:35:42.890368] [NaClMain] NaCl global system call counter = 359 
[2028,3894769536:13:35:42.890380] [NaClMain] Print out system call timing table: 
[2028,3894769536:13:35:42.890393] sys_num: 0, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890407] sys_num: 1, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890420] sys_num: 2, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890434] sys_num: 3, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890447] sys_num: 4, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890461] sys_num: 5, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890474] sys_num: 6, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890488] sys_num: 7, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890501] sys_num: 8, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890514] sys_num: 9, invoked times: 2, execution time: 0.000001 
[2028,3894769536:13:35:42.890529] sys_num: 10, invoked times: 22, execution time: 0.008420 
[2028,3894769536:13:35:42.890543] sys_num: 11, invoked times: 27, execution time: 0.000097 
[2028,3894769536:13:35:42.890557] sys_num: 12, invoked times: 35, execution time: 0.005056 
[2028,3894769536:13:35:42.890571] sys_num: 13, invoked times: 2, execution time: 0.000415 
[2028,3894769536:13:35:42.890584] sys_num: 14, invoked times: 17, execution time: 0.001152 
[2028,3894769536:13:35:42.890598] sys_num: 15, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890611] sys_num: 16, invoked times: 34, execution time: 0.004110 
[2028,3894769536:13:35:42.890625] sys_num: 17, invoked times: 18, execution time: 0.002313 
[2028,3894769536:13:35:42.890638] sys_num: 18, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890651] sys_num: 19, invoked times: 0, execution time: 0.000000 
[2028,3894769536:13:35:42.890664] sys_num: 20, invoked times: 33, execution time: 0.000322 
[2028,3894769536:13:35:42.890678] sys_num: 21, invoked times: 69, execution time: 0.007306 
[2028,3894769536:13:35:42.890691] sys_num: 22, invoked times: 14, execution time: 0.000339 
[2028,3894769536:13:35:42.890707] sys_num: 23, invoked times: 0, execution time: 0.000000 
